airline,average_booking_amount,gross_bookings,user_cancellations,commission_per_booking,fees_per_cancellation,cancellation_percentage,profit
Bird Airlines,"$1,235",943493,528356,0.17%,0.39%,56.00%,"-$590,249"
Birds Nest Airlines,"$1,648",1806417,126449,0.27%,0.43%,7.00%,"$7,201,283"
Birds Nest Plant Airlines,"$1,806",390719,105494,0.21%,0.32%,27.00%,"$874,235"
Birds Of Paradise Airlines,"$1,001",1556062,1260410,0.55%,0.81%,81.00%,"-$1,647,245"
Birman Airlines,"$1,328",712105,420142,0.37%,0.62%,59.00%,"$73,916"
Bishop Kennedy Airlines,$200,32665,23192,2.16%,3.23%,71.00%,"-$9,034"
Bison Airlines,$628,21132,15638,0.71%,1.00%,74.00%,"-$3,645"
Bitter Nightshade Airlines,"$1,128",628565,414853,0.31%,0.43%,66.00%,"$189,826"
Bitter Weed Airlines,$895,1934304,290146,0.52%,0.65%,15.00%,"$7,311,667"
Bittercress Airlines,"$1,551",1423507,911044,0.17%,0.38%,64.00%,"-$1,562,438"
Bittersweet Airlines,$768,629557,144798,0.36%,0.72%,23.00%,"$930,549"
Black Alder Airlines,$561,1426220,855732,0.49%,0.71%,60.00%,"$493,472"
Black Ash Airlines,$929,203916,2039,0.45%,0.71%,1.00%,"$845,131"
Black Birch Airlines,"$1,222",147145,2943,0.23%,0.40%,2.00%,"$394,819"
Black Cap Airlines,$964,908805,617987,0.26%,0.47%,68.00%,"-$579,452"
Black Cherry Airlines,$802,361658,202528,0.41%,0.54%,56.00%,"$294,392"
Black Eyed Susan Airlines,"$1,672",53611,7506,0.23%,0.38%,14.00%,"$156,820"
Black Hellebore Airlines,$255,1832866,0,0.99%,1.46%,0.00%,"$4,618,822"
Black Maple Airlines,$240,1563701,93822,1.35%,2.22%,6.00%,"$4,550,683"
Black Marlin Airlines,"$1,255",350683,231451,0.34%,0.45%,66.00%,"$190,770"
Black Nightshade Airlines,"$1,869",1950209,1443155,0.16%,0.25%,74.00%,"-$922,840"
Black Raspberry Airlines,"$1,756",1970921,59128,0.21%,0.35%,3.00%,"$6,964,050"
Black Rhinoceros Airlines,$814,36290,6532,0.44%,0.64%,18.00%,"$96,119"
Black Russian Terrier Airlines,"$1,960",1157262,46290,0.11%,0.23%,4.00%,"$2,229,352"
Black Weed Airlines,"$1,212",1116409,870799,0.29%,0.55%,78.00%,"-$1,873,557"
Black Widow Spider Airlines,"$1,567",466441,359160,0.25%,0.41%,77.00%,"-$438,224"
Blackberry Airlines,$356,1761728,88086,0.85%,1.42%,5.00%,"$4,858,848"
Blackhaw Airlines,"$1,869",840242,613377,0.27%,0.35%,73.00%,"$314,416"
Blackhaw Viburnum Airlines,"$1,106",55594,45587,0.39%,0.51%,82.00%,"-$18,212"
Blackie Head Airlines,$202,1077210,269303,2.43%,3.74%,25.00%,"$3,242,398"
Blarney Airlines,"$1,156",936473,515060,0.28%,0.46%,55.00%,"$284,689"
Bleu D'Auvergne Airlines,"$1,449",1390441,111235,0.30%,0.44%,8.00%,"$5,305,368"
Bleu De Gex Airlines,"$1,269",6514,2736,0.18%,0.27%,42.00%,"$5,701"
Bleu De Laqueuille Airlines,$263,1161048,429588,1.41%,2.14%,37.00%,"$1,884,612"
Bleu De Septmoncel Airlines,$493,1741828,435457,0.84%,1.18%,25.00%,"$4,711,645"
Bleu De Termignon Alpage Airlines,"$1,899",1182849,733366,0.26%,0.34%,62.00%,"$1,082,546"
Bleu Des Causses Airlines,$810,171757,10305,0.41%,0.79%,6.00%,"$499,438"
Blobfish Airlines,$236,1638504,1327188,1.93%,2.79%,81.00%,"-$1,277,704"
Bloodhound Airlines,"$1,725",1403317,350829,0.23%,0.31%,25.00%,"$3,627,576"
Blue Airlines,"$1,622",1432079,572832,0.18%,0.33%,40.00%,"$1,188,623"
Blue Ash Airlines,$825,1666807,300025,0.20%,0.45%,18.00%,"$1,590,135"
Blue Bindweed Airlines,"$1,194",1425894,242402,0.42%,0.66%,17.00%,"$5,290,352"
Blue Castello Airlines,"$1,597",934567,682234,0.21%,0.30%,73.00%,"-$137,101"
Blue Jay Airlines,$874,862996,569577,0.50%,0.72%,66.00%,"$171,221"
Blue Lacy Dog Airlines,$694,675566,216181,0.37%,0.55%,32.00%,"$899,314"
Blue Oak Airlines,$505,1449391,260890,0.85%,1.12%,18.00%,"$4,721,538"
Blue Of Termignon Airlines,"$1,520",1303875,795364,0.29%,0.45%,61.00%,"$246,822"
Blue Of The Heavens Airlines,$885,353082,38839,0.32%,0.67%,11.00%,"$773,991"
Blue Rathgore Airlines,"$1,185",1933702,889503,0.39%,0.59%,46.00%,"$2,638,729"
Blue Whale Airlines,$476,1530976,459293,0.78%,1.09%,30.00%,"$3,335,996"
Blueberry Airlines,"$1,130",1985672,99284,0.37%,0.58%,5.00%,"$7,688,519"
Blueberry Cornel Airlines,$671,1949175,818654,0.36%,0.54%,42.00%,"$1,728,916"
Bluetick Coonhound Airlines,"$1,616",1265805,139239,0.27%,0.39%,11.00%,"$4,574,110"
Blunt Leaved Milkweed Airlines,"$1,518",1255234,426780,0.35%,0.43%,34.00%,"$3,811,641"
Bobcat Airlines,"$1,646",1570804,62832,0.17%,0.27%,4.00%,"$4,075,923"
Bocconcini Airlines,"$1,992",1936412,1181211,0.10%,0.25%,61.00%,"-$1,946,286"
Boeren Leidenkaas Airlines,"$1,822",77942,47545,0.20%,0.33%,61.00%,-$571
Bolean Birch Airlines,"$1,382",335544,127507,0.18%,0.29%,38.00%,"$329,637"
Bolognese Dog Airlines,"$1,833",732613,439568,0.15%,0.21%,60.00%,"$291,579"
Bombay Airlines,"$1,357",772782,309113,0.22%,0.44%,40.00%,"$417,301"
Bonchester Airlines,"$1,296",1769104,247675,0.43%,0.66%,14.00%,"$7,693,122"
Bongo Airlines,"$1,772",334536,250902,0.17%,0.31%,75.00%,"-$347,081"
Bonito Fish Airlines,"$1,202",77150,64035,0.41%,0.51%,83.00%,"-$12,170"
Bonobo Airlines,$277,1705429,869769,1.83%,2.51%,51.00%,"$2,601,630"
Booby Airlines,"$1,425",206879,109646,0.11%,0.18%,53.00%,"$36,928"
Border Collie Airlines,$718,974709,126712,0.59%,0.76%,13.00%,"$3,456,611"
Border Terrier Airlines,"$1,043",1052385,894527,0.31%,0.51%,85.00%,"-$1,326,530"
Bornean Orang-utan Airlines,$201,425953,149084,1.29%,2.12%,35.00%,"$470,889"
Borneo Elephant Airlines,$643,878346,614842,0.84%,1.17%,70.00%,"$101,011"
Bosona Airlines,$291,509977,25499,1.02%,1.86%,5.00%,"$1,371,837"
Boston Fern Or Sword Fern Airlines,"$1,017",686762,20603,0.16%,0.33%,3.00%,"$1,063,931"
Boston Terrier: Complete Pet Guide Airlines,"$1,720",1460341,1139066,0.16%,0.35%,78.00%,"-$2,837,735"
Bosworth Airlines,$678,171427,97713,0.35%,0.71%,57.00%,"-$60,049"
Botein Airlines,"$1,585",269607,37745,0.11%,0.27%,14.00%,"$310,210"
Bottae Airlines,$235,2001757,0,0.90%,1.91%,0.00%,"$4,223,707"
Bottlenose Dolphin Airlines,"$2,000",704488,119763,0.13%,0.22%,17.00%,"$1,287,029"
Bougon Airlines,"$1,423",132631,76926,0.19%,0.30%,58.00%,"$22,919"
Boule Du Roves Airlines,$818,10806,7564,0.28%,0.60%,70.00%,"-$12,620"
Boulette D'Avesnes Airlines,$641,774550,139419,0.33%,0.68%,18.00%,"$1,020,082"
Boursault Airlines,"$1,210",1199560,515811,0.14%,0.30%,43.00%,"$216,520"
Boursin Airlines,$216,795994,660675,1.56%,2.72%,83.00%,"-$1,203,622"
Bouyssou Airlines,"$1,605",92616,52791,0.27%,0.39%,57.00%,"$72,019"
Bow Wood Airlines,$835,319991,140796,0.52%,0.66%,44.00%,"$625,007"
Bowfin Airlines,$753,1641913,788118,0.26%,0.61%,48.00%,"-$365,817"
Bowhead Whale Airlines,"$1,156",712974,163984,0.35%,0.60%,23.00%,"$1,718,767"
Box Airlines,"$1,814",119356,7161,0.16%,0.28%,6.00%,"$306,532"
Boxelder Airlines,"$1,718",774754,534580,0.16%,0.27%,69.00%,"-$411,858"
Boxer Dog Airlines,$347,1203418,240684,1.01%,1.50%,20.00%,"$2,970,034"
Boxwood Airlines,$654,616584,172644,0.54%,0.81%,28.00%,"$1,243,031"
Boykin Spaniel Airlines,$671,898905,44945,0.57%,0.88%,5.00%,"$3,159,203"
Bra Airlines,"$1,120",89119,24953,0.19%,0.35%,28.00%,"$95,038"
Brachium Airlines,"$1,977",1040966,614170,0.26%,0.33%,59.00%,"$1,361,375"
Braudostur Airlines,"$1,961",431861,82054,0.14%,0.22%,19.00%,"$800,841"
Brazilian Terrier Airlines,"$1,670",730804,175393,0.18%,0.31%,24.00%,"$1,229,504"
Breakfast Cheese Airlines,"$1,752",577841,439159,0.27%,0.36%,76.00%,"-$17,796"
Brebis Du Lavort Airlines,"$1,441",1537863,153786,0.14%,0.34%,10.00%,"$2,363,697"
Brebis Du Lochois Airlines,"$1,886",1656893,82845,0.08%,0.17%,5.00%,"$2,260,001"
Brebis Du Puyfaucon Airlines,"$1,267",1985004,774152,0.23%,0.35%,39.00%,"$2,398,677"
Bresse Bleu Airlines,"$1,298",1204905,638600,0.25%,0.35%,53.00%,"$1,018,866"
Brick Airlines,"$1,245",327019,3270,0.21%,0.34%,1.00%,"$823,304"
Brie Airlines,$593,634475,50758,0.60%,1.07%,8.00%,"$1,930,073"
Brie Au Poivre Airlines,"$1,137",942843,273424,0.23%,0.47%,29.00%,"$984,613"
Brie De Meaux Airlines,$528,448094,255414,0.80%,1.16%,57.00%,"$337,412"
Brie De Melun Airlines,$815,28110,4498,0.35%,0.48%,16.00%,"$62,909"
Brie With Pepper Airlines,"$1,294",361238,25287,0.30%,0.45%,7.00%,"$1,264,006"
Brier Airlines,"$1,409",24969,15980,0.38%,0.48%,64.00%,"$25,240"
Brillat-Savarin Airlines,"$1,705",140278,53306,0.25%,0.43%,38.00%,"$210,134"
Brilliant Coneflower Airlines,"$1,462",1262211,643728,0.30%,0.37%,51.00%,"$2,065,228"
Brin Airlines,"$1,155",625598,481710,0.24%,0.51%,77.00%,"-$1,078,841"
Brin D'Amour Airlines,$442,1779909,1370530,0.45%,0.82%,77.00%,"-$1,383,702"
Brinza Airlines,$641,1009306,272513,0.72%,0.88%,27.00%,"$3,143,481"
Briquette De Brebis Airlines,$676,636163,229019,0.48%,0.92%,36.00%,"$648,884"
Briquette Du Forez Airlines,$657,1406714,576753,0.51%,0.68%,41.00%,"$2,120,339"
Bristly Dewberry Airlines,"$1,637",862453,724461,0.24%,0.31%,84.00%,"-$263,568"
Bristly Ground Berry Airlines,"$1,186",803771,208980,0.41%,0.62%,26.00%,"$2,376,593"
British Timber Airlines,$983,1783224,106993,0.34%,0.61%,6.00%,"$5,349,675"
Brittle Bush Airlines,$691,1944547,293900,0.76%,0.95%,15.11%,"$8,328,596"
Broadleaf Airlines,$493,636530,343726,0.63%,1.17%,54.00%,"$9,040"
Broadleaf Plantain Airlines,"$1,989",528670,105734,0.10%,0.20%,20.00%,"$641,805"
Broccio Airlines,"$1,424",461702,101574,0.26%,0.47%,22.00%,"$1,022,119"
Broccio Demi-Affine Airlines,"$1,579",1505960,632503,0.10%,0.23%,42.00%,"$96,985"
Brousse Du Rove Airlines,"$1,415",684136,287337,0.37%,0.56%,42.00%,"$1,303,006"
Brown Bear Airlines,"$1,198",826569,611661,0.40%,0.63%,74.00%,"-$685,391"
Brown Betty Airlines,$429,335495,150973,0.59%,1.20%,45.00%,"$81,021"
Brown Daisy Airlines,"$1,866",454586,36367,0.08%,0.19%,8.00%,"$588,052"
Brown Eyed Susan Airlines,"$1,245",700309,476210,0.32%,0.40%,68.00%,"$429,150"
Bruder Basil Airlines,$735,594503,65395,0.26%,0.57%,11.00%,"$849,606"
Brusselae Kaas Airlines,"$1,957",897821,727235,0.19%,0.33%,81.00%,"-$1,375,551"
Bryndza Airlines,"$1,641",42925,10731,0.22%,0.36%,25.00%,"$95,188"
Bubup Airlines,"$1,219",528778,343706,0.13%,0.39%,65.00%,"-$769,373"
Buchette D'Anjou Airlines,$828,1629768,1173433,0.49%,0.78%,72.00%,"-$947,221"
Buckeye Airlines,"$1,934",537447,290221,0.13%,0.27%,54.00%,"-$120,064"
Buckeye California Buckeye Airlines,$696,745763,246102,0.48%,0.80%,33.00%,"$1,100,148"
Budgerigar Airlines,"$1,332",1509203,1131902,0.20%,0.37%,75.00%,"-$1,535,613"
Buffalo Airlines,$587,1072624,160894,0.77%,1.26%,15.00%,"$3,643,701"
Buffalo Airlines,$728,1948973,38979,0.21%,0.65%,2.00%,"$2,817,438"
Buffalo Weed Airlines,$673,84324,9276,0.26%,0.47%,11.00%,"$117,226"
Bulbivorus Airlines,$682,1949208,77968,0.44%,0.89%,4.00%,"$5,411,003"
Bulbous Cress Airlines,"$1,033",273052,117412,0.34%,0.47%,43.00%,"$395,599"
Bull Nettle Airlines,"$1,552",1751647,1278702,0.18%,0.31%,73.00%,"-$1,338,257"
Bull Shark Airlines,"$1,323",831680,623760,0.36%,0.54%,75.00%,"-$484,454"
Bull Terrier Airlines,"$1,124",713903,64251,0.17%,0.40%,9.00%,"$1,097,770"
Bulldog Airlines,"$1,030",1537462,461239,0.46%,0.73%,30.00%,"$3,837,502"
Bullfrog Airlines,$726,1766906,141352,0.59%,0.79%,8.00%,"$6,693,749"
Bullmastiff Airlines,$231,1108012,99721,1.79%,2.25%,9.00%,"$4,068,620"
Bumblebee Airlines,$514,1931401,1139527,0.40%,0.60%,59.00%,"$472,419"
Buna Airlines,$593,132691,23884,0.90%,1.36%,18.00%,"$514,021"
Bunda Airlines,"$1,716",668984,535187,0.18%,0.34%,80.00%,"-$1,039,600"
Bur Oak Airlines,$446,709178,78010,0.56%,0.94%,11.00%,"$1,438,211"
Burgos Airlines,$990,906748,426172,0.22%,0.34%,47.00%,"$548,490"
Burmese Airlines,"$1,280",1400221,1176186,0.43%,0.58%,84.00%,"-$1,086,574"
Burrowing Frog Airlines,"$1,490",1289664,0,0.34%,0.46%,0.00%,"$6,499,907"
Butte Airlines,$727,991678,208252,0.44%,0.72%,21.00%,"$2,106,128"
Butterfly Airlines,"$1,512",1607244,1366157,0.13%,0.25%,85.00%,"-$2,125,579"
Butterfly Fish Airlines,"$1,566",1160929,510809,0.24%,0.40%,44.00%,"$1,211,544"
Butterfly Flower Airlines,$229,777530,443192,1.17%,2.13%,57.00%,"-$66,789"
Butterfly Weed Airlines,"$1,263",1012731,445602,0.38%,0.50%,44.00%,"$2,033,562"
Butterkase Airlines,$652,1454821,800152,0.75%,1.07%,55.00%,"$1,574,113"
Button Airlines,$844,1896088,1592714,0.37%,0.58%,84.00%,"-$1,898,364"
Buxton Blue Airlines,$615,1447196,101304,0.47%,0.75%,7.00%,"$3,746,355"
Cabbage Airlines,"$1,327",437010,179174,0.35%,0.48%,41.00%,"$894,342"
Cabecou Airlines,"$1,894",1923464,807855,0.29%,0.44%,42.00%,"$3,934,637"
Cabinet Cherry Airlines,"$1,644",551140,468469,0.30%,0.39%,85.00%,"-$329,857"
Caboc Airlines,$254,939830,122178,1.80%,2.48%,13.00%,"$3,514,682"
Cabrales Airlines,"$1,765",636240,528079,0.14%,0.26%,83.00%,"-$907,341"
Cachaille Airlines,$286,1944179,1555343,1.49%,1.91%,80.00%,"-$209,970"
Caciocavallo Airlines,$962,884747,513153,0.29%,0.44%,58.00%,"$273,565"
Caciotta Airlines,$716,431178,133665,0.59%,0.75%,31.00%,"$1,123,047"
Caerphilly Airlines,$297,1839652,717464,0.69%,1.18%,39.00%,"$1,278,559"
Caiman Airlines,"$1,485",336307,121071,0.16%,0.29%,36.00%,"$299,042"
Caiman Lizard Airlines,"$1,957",1422789,526432,0.10%,0.26%,37.00%,"$150,246"
Cairn Terrier Airlines,$949,1536709,0,0.43%,0.59%,0.00%,"$6,315,874"
Cairnsmore Airlines,"$1,967",1584400,190128,0.12%,0.27%,12.00%,"$2,606,655"
Calenzana Airlines,"$1,100",1982375,237885,0.28%,0.39%,12.00%,"$5,181,928"
California Bay Airlines,$598,621353,205046,0.32%,0.75%,33.00%,"$249,600"
California Black Oak Airlines,$607,762333,548880,0.81%,1.08%,72.00%,"$174,115"
California Buckeye Airlines,"$1,121",1950849,214593,0.28%,0.43%,11.00%,"$5,175,799"
California Sycamore Airlines,"$1,518",1852062,111124,0.33%,0.49%,6.00%,"$8,338,722"
California Thistle Airlines,"$1,094",194290,77716,0.45%,0.55%,40.00%,"$489,999"
California Walnut Airlines,$342,1959603,19596,1.21%,2.10%,1.00%,"$7,952,657"
Californicus Airlines,$782,1821037,1129043,0.48%,0.61%,62.00%,"$1,443,354"
Cambazola Airlines,"$1,485",489978,14699,0.21%,0.29%,3.00%,"$1,440,586"
Camel Airlines,"$1,172",1386457,152510,0.42%,0.52%,11.00%,"$5,827,835"
Camel Spider Airlines,$712,523777,230462,0.31%,0.48%,44.00%,"$349,045"
Camembert Airlines,"$1,988",339819,227679,0.17%,0.29%,67.00%,"-$134,502"
Canaan Dog Airlines,"$1,191",1088582,544291,0.40%,0.60%,50.00%,"$1,322,627"
Canada Root Airlines,$344,1226318,159421,0.66%,1.60%,13.00%,"$1,917,595"
Canada Thistle Airlines,"$1,305",1718741,1460930,0.30%,0.42%,85.00%,"-$1,268,432"
Canadian Cheddar Airlines,$439,1532775,15328,0.84%,1.56%,1.00%,"$5,520,134"
Canadian Eskimo Dog Airlines,"$1,521",1767346,459510,0.32%,0.40%,26.00%,"$5,911,419"
Cancer Jalap Airlines,"$1,109",1318886,712198,0.47%,0.70%,54.00%,"$1,389,318"
Cane Ash Airlines,$618,1446905,723453,0.67%,0.93%,50.00%,"$1,844,801"
Canestrato Airlines,"$1,160",294500,0,0.46%,0.63%,0.00%,"$1,584,410"
Canicaudus Airlines,$256,1618096,1165029,0.74%,1.90%,72.00%,"-$2,599,309"
Canipes Airlines,"$1,759",1070863,310550,0.09%,0.19%,29.00%,"$610,179"
Canoe Birch Airlines,$606,1533532,1058137,0.68%,1.05%,69.00%,"-$474,014"
Canopus Airlines,"$1,669",202664,68906,0.19%,0.37%,34.00%,"$211,296"
Cantal Airlines,$356,1591952,1146205,1.43%,2.33%,72.00%,"-$1,426,385"
Canyon Live Oak Airlines,"$1,496",17010,8505,0.21%,0.39%,50.00%,"$2,637"
Capella Airlines,$579,1116229,636251,0.80%,1.19%,57.00%,"$819,420"
Caph Airlines,"$1,425",1267677,773283,0.19%,0.38%,61.00%,"-$760,733"
Caprice Des Dieux Airlines,$217,926006,277802,1.87%,2.50%,30.00%,"$2,253,898"
Capricorn Goat Airlines,"$1,214",667078,200123,0.26%,0.39%,30.00%,"$1,151,379"
Capriole Banon Airlines,$961,30559,9779,0.36%,0.63%,32.00%,"$47,574"
Capybara Airlines,$572,1202856,457085,0.37%,0.74%,38.00%,"$649,784"
Caracal Airlines,$215,16055,8830,1.40%,2.23%,55.00%,"$5,869"
Caravane Airlines,"$1,482",1720762,1445440,0.24%,0.33%,84.00%,"-$901,679"
Carolina Azolla Airlines,"$1,052",1479497,488234,0.29%,0.58%,33.00%,"$1,598,153"
Carolina Dog Airlines,$847,1744928,261739,0.45%,0.74%,15.00%,"$5,056,803"
Carolina Horse Nettle Airlines,"$1,752",640312,403397,0.13%,0.25%,63.00%,"-$271,878"
Carp Airlines,$306,384495,161488,0.69%,1.41%,42.00%,"$115,271"
Carre De L'Est Airlines,$668,13934,1115,0.40%,0.65%,8.00%,"$32,354"
Carrot Airlines,"$1,390",1149013,22980,0.33%,0.55%,2.00%,"$5,099,322"
Carrot Weed Airlines,$882,231143,60097,0.26%,0.44%,26.00%,"$297,852"
Cart Track Plant Airlines,$631,1254880,401562,0.83%,1.10%,32.00%,"$3,788,229"
Casciotta Di Urbino Airlines,"$1,630",1045120,836096,0.20%,0.29%,80.00%,"-$474,484"
Cashel Blue Airlines,"$1,089",1630088,440124,0.31%,0.46%,27.00%,"$3,307,773"
Cassowary Airlines,"$1,895",1347845,134785,0.25%,0.35%,10.00%,"$5,550,422"
Castelleno Airlines,"$1,770",1851489,536932,0.30%,0.48%,29.00%,"$5,296,738"
Castelmagno Airlines,"$1,558",1817279,1253923,0.27%,0.34%,69.00%,"$1,043,842"
Castelo Branco Airlines,"$1,159",1028788,113167,0.17%,0.29%,11.00%,"$1,670,442"
Castigliano Airlines,$901,420535,214473,0.35%,0.70%,51.00%,"-$18,252"
Castor Airlines,"$1,685",925246,296079,0.19%,0.34%,32.00%,"$1,181,352"
Castula Airlines,$569,1560724,46822,0.90%,1.22%,3.00%,"$7,682,506"
Cat Airlines,"$1,357",573678,367154,0.39%,0.61%,64.00%,"$5,277"
Catalina Ironwood Airlines,$661,732784,527604,0.37%,0.72%,72.00%,"-$732,782"
Caterpillar Airlines,$222,1807571,162681,1.82%,3.06%,9.00%,"$6,196,356"
Catfish Airlines,"$1,940",1451681,812941,0.17%,0.24%,56.00%,"$932,562"
Cathelain Airlines,$211,215595,77614,1.28%,2.20%,36.00%,"$221,978"
Cavalier King Charles Spaniel Airlines,"$1,567",856455,214114,0.10%,0.28%,25.00%,"$383,263"
Cebalrai Airlines,"$1,687",405337,235095,0.32%,0.45%,58.00%,"$420,014"
Ceibo Airlines,$584,155709,88754,0.65%,0.94%,57.00%,"$101,103"
Celaeno Airlines,"$1,632",1577034,1151235,0.19%,0.39%,73.00%,"-$2,362,713"
Celtic Promise Airlines,"$1,937",1157485,46299,0.15%,0.24%,4.00%,"$3,059,003"
Cendre D'Olivet Airlines,"$1,104",178704,92926,0.49%,0.63%,52.00%,"$315,520"
Centipede Airlines,"$1,811",333758,86777,0.28%,0.41%,26.00%,"$1,078,573"
Cerney Airlines,"$1,275",300033,180020,0.14%,0.36%,60.00%,"-$302,434"
Cervantes Airlines,$637,909653,682240,0.75%,1.14%,75.00%,"-$639,033"
Cesky Fousek Airlines,$968,1831219,1556536,0.48%,0.69%,85.00%,"-$1,898,057"
Chabichou Airlines,"$1,742",989150,840778,0.29%,0.41%,85.00%,"-$1,094,003"
Chabichou Du Poitou Airlines,"$1,343",411014,12330,0.37%,0.48%,3.00%,"$1,976,035"
Chabis De Gatine Airlines,$676,757828,227348,0.26%,0.49%,30.00%,"$591,865"
Chalawan Airlines,$944,832657,0,0.45%,0.69%,0.00%,"$3,513,813"
Chameleon Airlines,"$1,951",250852,85290,0.18%,0.27%,34.00%,"$405,024"
Chamois Airlines,"$1,661",1782887,427893,0.28%,0.39%,24.00%,"$5,566,886"
Champion Oak Airlines,"$1,542",1908873,57266,0.14%,0.30%,3.00%,"$3,993,936"
Chamukuy Airlines,"$1,463",303544,160878,0.21%,0.29%,53.00%,"$248,695"
Chaophraya Airlines,"$1,266",474171,66384,0.20%,0.33%,14.00%,"$907,184"
Chaource Airlines,"$1,743",1887139,754856,0.12%,0.29%,40.00%,"$30,192"
Chara Airlines,"$1,238",1036325,559616,0.41%,0.59%,54.00%,"$1,094,770"
Charolais Airlines,"$1,204",100143,82117,0.30%,0.57%,82.00%,"-$195,157"
Chason Airlines,$525,1271028,152523,0.76%,0.97%,12.00%,"$4,322,005"
Chaumes Airlines,$917,713923,556860,0.47%,0.64%,78.00%,"-$173,484"
Chechia Airlines,"$1,540",1057438,465273,0.22%,0.30%,44.00%,"$1,477,451"
Cheddar Airlines,"$1,470",1700455,306082,0.20%,0.40%,18.00%,"$3,126,796"
Cheddar Clothbound Airlines,$747,729437,415779,0.65%,0.80%,57.00%,"$1,062,863"
Cheetah Airlines,"$1,575",194915,58475,0.28%,0.34%,30.00%,"$532,310"
Cherry Airlines,$593,716605,401299,0.82%,1.24%,56.00%,"$530,000"
Cherry Birch Airlines,"$1,281",1104203,861278,0.22%,0.41%,78.00%,"-$1,492,660"
Chertan Airlines,$432,490698,161930,0.78%,1.05%,33.00%,"$910,295"
Chesapeake Bay Retriever Airlines,"$1,853",434765,13043,0.10%,0.23%,3.00%,"$739,535"
Cheshire Airlines,"$1,519",427104,260533,0.18%,0.34%,61.00%,"-$197,832"
Chestnut Airlines,$797,1360665,993285,0.22%,0.62%,73.00%,"-$2,474,911"
Chevres Airlines,$833,971550,534353,0.30%,0.44%,55.00%,"$460,027"
Chevrotin Des Aravis Airlines,$940,695412,493743,0.51%,0.73%,71.00%,"-$73,995"
Chicken Airlines,"$1,868",1174671,528602,0.28%,0.43%,45.00%,"$1,810,168"
Chigger Flower Airlines,$600,597319,131410,0.37%,0.62%,22.00%,"$827,885"
Chihuahua Airlines,"$1,199",696924,348462,0.45%,0.61%,50.00%,"$1,233,555"
Chimaera Airlines,"$1,745",1897373,1043555,0.09%,0.22%,55.00%,"-$1,006,556"
Chimpanzee Airlines,"$1,941",1254987,1029089,0.25%,0.32%,82.00%,"-$381,514"
Chinchilla Airlines,$287,295460,138866,0.90%,1.95%,47.00%,"-$13,974"
Chinese Crested Dog Airlines,"$1,859",1846038,479970,0.19%,0.34%,26.00%,"$3,419,600"
Chinook Airlines,"$1,312",775392,472989,0.20%,0.38%,61.00%,"-$358,386"
Chinstrap Penguin Airlines,"$1,058",776446,395987,0.24%,0.40%,51.00%,"$305,068"
Chipmunk Airlines,$233,63471,29197,2.23%,3.31%,46.00%,"$104,940"
Chontaleno Airlines,"$1,804",1232598,135586,0.12%,0.24%,11.00%,"$2,076,803"
Chow Chow Airlines,"$1,757",1598789,479637,0.21%,0.29%,30.00%,"$3,507,742"
Christmas Fern Airlines,$958,956149,258160,0.31%,0.48%,27.00%,"$1,632,339"
Chrotorrhinus Airlines,"$1,626",974367,730775,0.22%,0.40%,75.00%,"-$1,200,906"
Chrysanthemum Airlines,"$1,818",992311,317540,0.25%,0.38%,32.00%,"$2,218,804"
Cichlid Airlines,$228,1257386,238903,0.72%,1.28%,19.00%,"$1,379,479"
Cinereicollis Airlines,$527,1828445,255982,0.37%,0.80%,14.00%,"$2,492,903"
Citadelle Airlines,$802,821193,303841,0.58%,0.91%,37.00%,"$1,584,084"
Citala Airlines,"$1,239",355794,10674,0.22%,0.32%,3.00%,"$939,829"
Civray Airlines,"$1,893",742004,430362,0.09%,0.18%,58.00%,"-$250,648"
Climbing Nightshade Airlines,"$1,232",330002,85801,0.12%,0.30%,26.00%,"$174,107"
Clouded Leopard Airlines,"$1,080",541364,416850,0.33%,0.62%,77.00%,"-$859,792"
Clove Airlines,"$1,047",1547081,990132,0.24%,0.53%,64.00%,"-$1,596,588"
Clover Airlines,$849,1401275,252230,0.18%,0.36%,18.00%,"$1,420,611"
Clownfish Airlines,"$1,479",564852,463179,0.19%,0.30%,82.00%,"-$487,808"
Clumber Spaniel Airlines,"$1,963",1838727,496456,0.12%,0.25%,27.00%,"$2,111,963"
Clump Foot Cabbage Airlines,"$1,408",1905509,1276691,0.35%,0.46%,67.00%,"$1,216,477"
Coakum Airlines,$346,1586645,333195,0.99%,1.86%,21.00%,"$3,287,214"
Coast Live Oak Airlines,$244,335597,151019,2.13%,2.97%,45.00%,"$650,217"
Coast Polypody Airlines,"$1,340",677971,311867,0.17%,0.38%,46.00%,"-$11,934"
Coati Airlines,$739,1186285,735497,0.47%,0.91%,62.00%,"-$792,203"
Cocibolca Airlines,$304,773663,363622,0.63%,1.26%,47.00%,"$88,660"
Cockatoo Airlines,$210,1867167,1026942,0.80%,1.62%,55.00%,"-$354,762"
Cockroach Airlines,$455,930673,260588,0.95%,1.42%,28.00%,"$2,355,722"
Coconut Airlines,"$1,767",874162,270990,0.23%,0.41%,31.00%,"$1,600,680"
Coelacanth Airlines,$506,355325,273600,0.53%,0.85%,77.00%,"-$226,128"
Coeur De Camembert Au Calvados Airlines,"$1,564",360151,25211,0.34%,0.54%,7.00%,"$1,700,882"
